,Unnamed: 0,site_id,building_id,primary_use,square_feet,year_built,floor_count,meter,timestamp,meter_reading,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
5959487,5959487,14,1274,Office,17077,,,0,2016-04-21 23:00:00,44.0,20.6,0.0,9.4,0.0,1014.7,230.0,4.1
13225391,13225391,9,882,Education,39143,,,0,2016-08-29 15:00:00,69.0,25.6,,21.7,0.0,1016.6,,2.6
16578156,16578156,3,471,Education,170000,1956.0,,0,2016-10-28 01:00:00,128.8,17.2,,16.1,-1.0,1017.7,220.0,4.1
743041,743041,2,168,Education,183460,2005.0,,3,2016-01-14 12:00:00,93.7827,6.7,0.0,0.6,0.0,1015.8,100.0,3.6
2762100,2762100,6,766,Office,64818,,,2,2016-02-21 03:00:00,170.49200000000002,12.2,0.0,6.7,0.0,1014.4,190.0,4.6
17796121,17796121,9,995,Education,46230,,,0,2016-11-18 17:00:00,56.0,26.1,,18.9,0.0,1018.4,,2.6
13697125,13697125,14,1286,Healthcare,205472,,,1,2016-09-06 23:00:00,2956.22,26.7,,17.2,0.0,1013.9,10.0,5.7
9501745,9501745,0,65,Lodging/residential,53130,2001.0,,0,2016-06-23 23:00:00,213.983,31.7,4.0,21.7,0.0,1017.4,100.0,6.2
1574362,1574362,6,754,Office,41337,,,2,2016-01-29 13:00:00,599.029,2.8,,-3.3,0.0,1002.9,,1.5
14385063,14385063,3,319,Public services,13100,1929.0,,0,2016-09-19 04:00:00,22.79,26.1,,23.3,0.0,1016.3,190.0,3.6
4395344,4395344,3,516,Public services,9000,,,0,2016-03-24 15:00:00,14.14,17.2,6.0,7.2,0.0,1016.3,160.0,5.7
3690767,3690767,2,256,Education,16744,,,0,2016-03-10 16:00:00,9.37,18.3,4.0,-1.7,0.0,1015.6,100.0,2.6
1351546,1351546,8,827,Office,5839,,1.0,0,2016-01-25 12:00:00,43.7917,4.4,2.0,2.8,0.0,1024.1,0.0,0.0
18444577,18444577,1,128,Lodging/residential,102774,1956.0,7.0,0,2016-11-30 05:00:00,72.7,-2.9,0.0,-3.3,,1035.2,280.0,1.0
10749548,10749548,3,545,Education,21903,1931.0,,0,2016-07-16 03:00:00,62.06,27.8,4.0,19.4,0.0,1015.6,200.0,3.1
16628821,16628821,13,1179,Entertainment/public assembly,143228,,,0,2016-10-28 22:00:00,962.0,21.7,,13.3,0.0,1004.3,230.0,4.6
10716939,10716939,7,790,Education,86111,1911.0,8.0,2,2016-07-15 13:00:00,0.19,22.3,,17.3,,1007.9,260.0,3.1
3485091,3485091,3,562,Education,235000,2013.0,,0,2016-03-06 14:00:00,362.52,4.4,,1.1,0.0,1026.1,0.0,0.0
18043063,18043063,15,1427,Education,180625,1933.0,,0,2016-11-23 02:00:00,144.35,-0.6,,-3.9,,,300.0,7.7
11841645,11841645,0,83,Other,2070,1996.0,,0,2016-08-04 16:00:00,11.3442,31.7,4.0,22.2,0.0,1016.8,190.0,4.1
